UNPROTECTED,SPEED_ZONE,MAX_AGE,SEX,LIGHT_CONDITION,severity_index,SEVERITY
1,80,21,1,1,16,1
1,80,21,1,5,10,1
1,80,21,1,1,3,1
1,110,21,1,5,8,1
1,100,21,1,1,7,1
1,100,21,0,5,54,1
1,80,21,1,3,5,1
1,100,21,1,5,6,1
1,100,21,1,5,7,1
1,80,21,1,2,3,1
1,100,21,0,5,5,1
1,110,21,1,5,12,1
1,100,21,1,5,5,1
1,80,21,1,5,10,1
1,80,21,0,3,9,1
1,100,21,1,5,54,1
1,100,21,1,5,3,1
1,100,21,1,1,5,1
1,80,21,1,5,5,1
1,80,21,1,5,10,1
1,100,21,1,5,5,1
1,80,21,0,5,8,1
1,100,21,1,5,3,1
1,100,21,1,5,5,1
1,100,21,1,2,3,1
1,100,21,1,1,7,1
1,100,21,0,1,12,1
1,80,21,1,5,3,1
1,100,21,1,5,3,1
1,100,21,0,5,13,1
1,100,21,1,5,4,1
1,100,21,1,5,10,1
1,80,21,1,5,3,1
1,80,21,1,1,16,1
1,100,21,1,5,18,1
1,100,21,1,1,3,1
1,80,21,1,3,6,1
1,100,21,1,5,7,1
1,100,21,1,1,3,1
1,100,21,1,1,3,1
1,100,21,0,2,3,1
1,100,21,1,1,6,1
1,100,21,0,1,3,1
1,80,21,1,3,12,1
1,100,21,1,2,12,1
1,100,21,1,5,5,1
1,100,21,1,5,54,1
1,80,21,0,5,7,1
1,80,21,1,1,7,1
1,80,21,1,1,3,1
1,80,21,1,1,7,1
1,80,21,1,5,3,1
1,80,21,1,5,9,1
1,100,21,1,5,4,1
1,100,21,1,5,5,1
1,100,21,1,5,4,1
1,100,21,1,5,4,1
1,100,21,0,2,5,1
1,110,21,1,5,10,1
1,80,21,0,1,3,1
1,80,21,1,1,12,1
1,110,21,1,1,20,1
1,90,21,1,1,9,1
1,100,21,1,5,8,1
1,110,21,0,1,11,1
1,80,21,1,2,3,1
1,110,21,1,5,10,1
1,80,21,1,5,5,1
1,100,21,1,1,16,1
1,80,21,1,5,9,1
1,100,21,1,1,7,1
1,100,21,1,5,4,1
1,100,21,1,5,5,1
1,80,21,1,1,12,1
1,80,21,1,3,4,1
1,80,21,1,5,9,1
1,80,21,0,5,4,1
1,100,21,1,5,7,1
1,100,21,1,5,7,1
1,110,21,1,5,12,1
1,100,21,1,5,13,1
1,80,25,0,1,7,1
1,100,25,1,5,19,1
1,100,25,1,2,3,1
1,100,25,0,1,5,1
1,100,25,1,5,3,1
1,100,25,1,5,8,1
1,100,25,1,5,3,1
1,100,25,1,1,6,1
1,100,25,1,5,7,1
1,100,25,0,1,15,1
1,80,25,1,5,10,1
1,100,25,1,5,3,1
1,100,25,0,5,54,1
1,80,25,1,2,3,1
1,100,25,1,2,12,1
1,100,25,1,1,7,1
1,100,25,1,2,10,1
1,80,25,1,1,3,1
1,100,25,1,2,7,1
1,100,25,1,1,7,1
1,100,25,1,1,3,1
1,80,25,1,5,7,1
1,100,25,1,5,5,1
1,100,25,1,1,3,1
1,100,25,1,5,19,1
1,110,25,1,1,11,1
1,80,25,1,1,5,1
1,100,25,1,1,8,1
1,80,25,1,3,3,1
1,100,25,1,5,8,1
1,100,25,0,1,9,1
1,80,25,0,1,7,1
1,100,25,1,1,3,1
1,80,25,1,2,6,1
1,100,25,1,5,4,1
1,80,25,1,1,3,1
1,100,25,0,5,19,1
1,100,25,1,1,3,1
1,100,25,1,2,3,1
1,100,25,1,2,3,1
1,80,25,1,5,10,1
1,80,25,1,5,7,1
1,100,25,1,5,15,1
1,100,25,1,5,8,1
1,100,25,1,1,12,1
1,80,25,0,5,10,1
1,100,25,1,1,4,1
1,100,25,1,1,6,1
1,100,25,1,1,3,1
1,80,25,1,5,10,1
1,80,25,1,5,4,1
1,100,25,1,1,8,1
1,100,25,1,2,7,1
1,100,25,1,5,8,1
1,80,25,1,5,10,1
1,100,25,1,5,5,1
1,80,25,1,1,3,1
1,100,25,0,2,3,1
1,100,25,1,1,5,1
1,100,25,1,5,3,1
1,100,25,1,5,8,1
1,110,25,1,1,20,1
1,100,25,1,1,6,1
1,100,25,1,5,5,1
1,80,25,1,1,3,1
1,100,25,1,1,8,1
1,100,25,1,1,3,1
1,80,25,0,1,7,1
1,100,25,0,5,5,1
1,80,25,1,3,3,1
1,100,25,0,1,8,1
1,100,25,0,2,7,1
1,110,25,0,5,8,1
1,110,25,1,1,20,1
1,110,25,1,1,12,1
1,100,25,1,1,3,1
1,100,25,1,1,3,1
1,100,25,1,1,5,1
1,80,25,1,5,9,1
1,100,25,1,2,10,1
1,100,25,1,5,19,1
1,100,25,1,5,3,1
1,100,25,1,1,16,1
1,100,25,1,1,3,1
1,100,25,1,1,7,1
1,80,25,1,1,4,1
1,100,25,1,1,7,1
1,80,25,1,5,3,1
1,110,25,1,5,8,1
1,100,25,0,5,5,1
1,100,25,1,5,5,1
1,100,25,0,5,54,1
1,100,25,1,5,5,1
1,100,25,0,2,4,1
1,100,25,1,2,12,1
1,100,25,1,1,5,1
1,100,25,1,5,5,1
1,80,25,1,5,5,1
1,100,25,0,1,6,1
1,100,25,1,5,3,1
1,100,25,1,1,7,1
1,100,25,0,5,8,1
1,100,25,0,1,16,1
1,100,25,1,1,7,1
1,80,25,1,5,3,1
1,100,25,1,5,7,1
1,100,25,0,1,7,1
1,80,29,1,2,6,1
1,100,29,1,5,3,1
1,100,29,1,1,7,1
1,100,29,1,1,4,1
1,100,29,0,5,3,1
1,80,29,1,1,3,1
1,80,29,0,1,9,1
1,100,29,1,1,4,1
1,80,29,1,1,9,1
1,80,29,1,1,19,1
1,110,29,0,1,12,1
1,100,29,0,5,3,1
1,100,29,0,5,7,1
1,100,29,1,5,4,1
1,80,29,0,1,5,1
1,100,29,1,1,9,1
1,100,29,1,5,3,1
1,80,29,1,3,3,1
1,80,29,1,5,4,1
1,80,29,1,5,3,1
1,100,29,1,1,15,1
1,80,29,1,3,17,1
1,80,29,1,1,3,1
1,100,29,1,2,5,1
1,100,29,0,5,4,1
1,100,29,1,3,3,1
1,100,29,0,5,4,1
1,80,29,1,5,3,1
1,100,29,1,5,3,1
1,80,29,1,1,3,1
1,110,29,1,5,3,1
1,100,29,1,5,9,1
1,80,29,0,1,8,1
1,100,29,1,1,15,1
1,100,29,1,5,13,1
1,100,29,1,1,12,1
1,100,29,0,1,6,1
1,100,29,0,3,3,1
1,80,29,1,5,10,1
1,100,29,1,5,9,1
1,100,29,1,5,6,1
1,110,29,1,5,8,1
1,80,29,0,3,6,1
1,100,29,0,5,3,1
1,80,29,1,3,6,1
1,80,29,1,5,3,1
1,100,29,1,2,12,1
1,80,29,0,3,3,1
1,100,29,1,1,4,1
1,100,29,1,3,3,1
1,100,29,1,2,12,1
1,80,29,1,1,3,1
1,100,29,1,1,3,1
1,90,29,1,3,7,1
1,100,29,0,5,6,1
1,100,29,1,5,15,1
1,100,29,1,5,7,1
1,100,29,0,5,6,1
1,110,29,0,5,5,1
1,100,29,1,1,7,1
1,80,29,1,3,3,1
1,100,29,1,5,4,1
1,100,29,1,1,5,1
1,100,29,1,1,7,1
1,110,29,0,1,8,1
1,100,29,1,1,3,1
1,100,29,1,2,9,1
1,100,29,1,1,3,1
1,80,29,1,3,7,1
1,100,29,0,1,16,1
1,100,29,1,1,3,1
1,100,29,1,1,12,1
1,100,29,1,1,4,1
1,100,29,1,1,3,1
1,100,29,1,1,7,1
1,100,29,0,1,7,1
1,100,29,1,1,5,1
1,100,29,1,5,3,1
1,110,29,1,1,20,1
1,100,29,0,2,13,1
1,80,29,1,3,6,1
1,100,29,1,5,3,1
1,80,29,1,1,3,1
1,100,29,1,5,3,1
1,100,29,0,1,5,1
1,100,29,1,5,7,1
1,110,29,1,1,8,1
1,80,29,1,3,6,1
1,100,29,1,5,4,1
1,100,29,1,5,3,1
1,100,29,1,5,15,1
1,100,29,0,3,3,1
1,80,29,0,1,4,1
1,110,29,1,1,20,1
1,100,29,1,5,3,1
1,100,29,1,5,54,1
1,110,29,1,1,20,1
1,100,29,1,5,5,1
1,100,29,1,1,4,1
1,80,29,1,1,19,1
1,100,29,1,5,54,1
1,100,29,1,1,15,1
1,80,29,1,1,5,1
1,80,29,1,3,3,1
1,100,29,1,1,6,1
1,100,29,1,1,6,1
1,100,29,1,1,3,1
1,80,29,0,3,5,1
1,80,29,1,2,3,1
1,80,29,1,1,3,1
1,110,29,1,1,12,1
