UNPROTECTED,SPEED_ZONE,MAX_AGE,SEX,LIGHT_CONDITION,severity_index,SEVERITY
1,50,4,1,1,3,1
1,60,4,0,1,7,1
1,70,4,0,1,6,1
1,70,12,1,1,14,1
1,60,12,1,1,4,1
1,70,12,0,1,14,1
1,60,12,0,1,9,1
1,70,15,0,1,3,1
1,60,15,1,1,3,1
1,40,15,1,3,3,1
1,60,15,1,1,12,1
1,60,15,1,6,17,1
1,60,15,1,6,17,1
1,40,15,1,3,11,1
1,60,15,1,1,12,1
1,40,15,0,3,11,1
1,50,15,0,3,13,1
1,50,15,1,5,5,1
1,60,15,1,1,3,1
1,60,15,1,1,12,1
1,40,15,0,3,11,1
1,50,15,1,5,5,1
1,50,17,1,1,3,1
1,60,17,1,1,12,1
1,50,17,1,3,13,1
1,70,17,1,3,6,1
1,50,17,1,1,3,1
1,50,17,1,3,11,1
1,70,17,1,3,3,1
1,60,17,1,6,17,1
1,60,17,1,1,3,1
1,60,17,0,1,17,1
1,50,17,0,5,11,1
1,60,17,0,1,17,1
1,50,17,0,3,13,1
1,60,17,1,1,4,1
1,50,17,1,1,3,1
1,50,17,1,3,4,1
1,60,17,1,6,17,1
1,70,17,1,3,4,1
1,60,17,1,3,6,1
1,50,17,1,3,11,1
1,60,17,0,1,3,1
1,60,17,1,1,3,1
1,50,17,0,5,11,1
1,50,17,1,3,11,1
1,40,17,0,1,10,1
1,70,17,1,3,5,1
1,60,17,1,3,5,1
1,70,17,1,3,5,1
1,60,21,1,3,4,1
1,60,21,0,6,11,1
1,60,21,1,1,17,1
1,60,21,0,1,3,1
1,60,21,1,1,4,1
1,60,21,1,3,8,1
1,60,21,1,1,9,1
1,60,21,1,3,3,1
1,60,21,1,3,3,1
1,60,21,0,3,5,1
1,60,21,1,1,17,1
1,50,21,1,3,7,1
1,60,21,1,3,3,1
1,50,21,1,5,8,1
1,60,21,1,3,8,1
1,60,21,1,3,3,1
1,70,21,1,1,7,1
1,50,21,1,1,4,1
1,50,21,1,3,7,1
