UNPROTECTED,SPEED_ZONE,MAX_AGE,SEX,LIGHT_CONDITION,severity_index,SEVERITY
0,100,4,0,2,8,1
0,100,4,0,1,8,1
0,100,4,1,1,13,1
0,100,4,1,5,14,1
0,100,4,1,1,19,1
0,80,4,0,1,8,1
0,100,4,0,1,5,1
0,100,4,1,1,5,1
0,80,4,1,1,11,1
0,100,4,1,2,4,1
0,80,4,0,3,8,1
0,100,4,1,1,11,1
0,100,4,1,1,9,1
0,80,4,1,5,6,1
0,100,4,0,1,10,1
0,100,4,1,1,5,1
0,110,4,0,1,10,1
0,100,4,0,1,7,1
0,100,4,0,1,7,1
0,80,4,0,3,3,1
0,100,4,0,1,3,1
0,100,4,1,1,11,1
0,100,4,0,2,13,1
0,100,4,0,5,4,1
0,100,4,0,1,12,1
0,100,4,0,1,11,1
0,80,4,1,3,6,1
0,100,4,1,1,5,1
0,100,4,0,1,12,1
0,100,12,0,1,15,1
0,100,12,0,1,6,1
0,80,12,0,1,6,1
0,100,12,0,1,8,1
0,100,12,1,1,14,1
0,100,12,0,2,4,1
0,100,12,0,1,11,1
0,100,12,0,1,11,1
0,100,12,0,1,13,1
0,100,12,0,1,19,1
0,80,12,1,1,7,1
0,100,12,0,1,11,1
0,100,12,1,1,3,1
0,100,12,0,1,8,1
0,110,12,1,5,10,1
0,80,12,0,1,4,1
0,100,12,1,1,6,1
0,110,12,1,1,10,1
0,80,12,0,5,9,1
0,80,12,0,1,11,1
0,100,12,1,1,5,1
0,100,12,0,1,16,1
0,80,12,1,1,3,1
0,80,12,0,1,13,1
0,100,12,0,1,7,1
0,100,12,0,1,6,1
0,100,12,0,1,9,1
0,100,12,0,1,8,1
0,100,12,1,1,12,1
0,110,12,0,1,3,1
0,80,12,1,1,8,1
0,100,12,1,1,9,1
0,100,12,0,1,10,1
0,100,12,1,1,16,1
0,100,12,0,1,8,1
0,110,12,1,5,5,1
0,80,12,1,1,10,1
0,100,12,0,1,14,1
0,80,12,0,1,3,1
0,100,12,0,1,20,1
0,100,12,1,1,5,1
0,80,12,1,1,13,1
0,100,12,0,1,3,1
0,80,12,0,2,4,1
0,110,12,1,1,10,1
0,100,12,0,1,19,1
0,80,12,0,1,5,1
0,80,12,1,1,6,1
0,110,12,0,1,14,1
0,80,15,0,5,5,1
0,100,15,0,1,5,1
0,80,15,1,1,8,1
0,100,15,0,3,8,1
0,110,15,1,1,5,1
0,80,15,1,1,12,1
0,100,15,1,1,15,1
0,100,15,1,1,14,1
0,100,15,0,1,12,1
0,110,15,1,1,10,1
0,100,15,0,1,7,1
0,100,15,1,1,6,1
0,100,15,1,5,4,1
0,80,15,0,3,8,1
0,110,15,0,1,7,1
0,100,15,1,1,3,1
0,100,15,1,1,19,1
0,100,15,0,1,4,1
0,80,17,1,2,8,1
0,100,17,0,1,7,1
0,110,17,0,1,12,1
0,110,17,1,2,13,1
0,100,17,1,2,7,1
0,100,17,0,1,7,1
0,80,17,0,3,5,1
0,100,17,1,1,4,1
0,100,17,0,1,7,1
0,110,17,1,1,15,1
0,100,17,1,1,12,1
0,100,17,1,1,5,1
0,100,17,1,1,8,1
0,100,17,1,5,5,1
0,80,17,1,5,7,1
0,80,17,1,5,7,1
0,80,17,0,3,5,1
0,100,17,0,1,7,1
0,100,17,1,1,3,1
0,80,17,0,1,8,1
0,80,17,0,1,3,1
0,100,17,1,1,7,1
0,110,17,1,5,5,1
0,100,21,1,5,6,1
0,100,21,1,1,5,1
0,110,21,1,5,13,1
0,100,21,1,1,6,1
0,80,21,1,1,3,1
0,80,21,0,1,8,1
0,100,21,0,1,5,1
0,100,21,0,5,4,1
0,80,21,1,2,3,1
0,100,21,1,1,5,1
0,100,21,1,2,4,1
0,80,21,1,3,7,1
0,100,21,1,1,8,1
0,100,21,1,5,4,1
0,100,21,1,5,3,1
0,80,21,1,5,3,1
0,100,21,0,5,5,1
0,100,21,1,1,11,1
0,110,21,1,5,13,1
0,100,21,0,1,3,1
0,100,21,1,5,3,1
0,110,21,1,5,6,1
0,100,21,1,1,3,1
0,100,21,0,1,5,1
0,80,21,1,5,4,1
0,100,21,1,5,18,1
0,80,21,1,3,12,1
0,110,21,0,1,15,1
0,100,21,0,3,5,1
0,110,21,0,1,5,1
0,80,21,1,1,3,1
0,100,21,1,5,3,1
0,100,21,1,1,3,1
0,100,21,0,1,5,1
0,80,21,0,1,13,1
0,100,21,1,1,7,1
0,100,21,1,5,6,1
0,80,21,1,5,4,1
0,100,21,0,2,4,1
0,80,21,1,5,3,1
0,100,21,0,5,6,1
0,100,21,1,5,7,1
0,100,21,1,1,14,1
0,100,21,0,5,5,1
0,80,21,1,3,12,1
0,80,21,1,1,5,1
0,80,21,0,1,5,1
0,80,21,0,5,8,1
0,80,21,0,5,3,1
0,90,21,1,1,7,1
0,100,21,1,1,6,1
0,100,21,1,5,6,1
0,80,21,0,5,4,1
0,100,21,1,1,6,1
0,100,21,0,1,6,1
0,100,21,1,5,3,1
0,100,21,1,5,4,1
0,80,21,1,2,3,1
0,100,21,0,1,6,1
0,100,21,0,1,3,1
0,100,21,0,1,16,1
0,100,21,1,5,3,1
0,100,21,0,5,3,1
0,100,21,1,2,4,1
0,100,21,0,5,54,1
0,100,21,1,1,10,1
0,100,21,0,9,7,1
0,100,21,0,5,3,1
0,80,21,1,5,7,1
0,100,21,0,1,3,1
0,80,21,0,1,3,1
0,80,21,1,5,3,1
0,80,21,1,2,7,1
0,100,21,0,5,9,1
0,100,21,0,1,4,1
0,100,21,1,5,3,1
0,100,21,1,1,7,1
0,100,21,1,1,4,1
0,80,21,1,1,7,1
0,100,21,0,1,7,1
0,80,21,1,3,4,1
0,100,21,0,2,9,1
0,80,21,0,5,3,1
0,80,21,0,1,13,1
0,80,21,1,1,3,1
0,100,21,0,1,5,1
0,100,21,1,1,7,1
0,80,21,1,3,7,1
0,80,21,1,5,8,1
0,100,21,1,1,8,1
0,80,21,1,2,3,1
0,100,21,1,1,13,1
0,100,21,0,1,7,1
0,80,21,0,3,12,1
0,110,21,1,5,13,1
0,110,21,0,1,4,1
0,80,21,1,1,3,1
0,80,21,1,2,7,1
0,100,21,1,1,5,1
0,100,21,0,1,4,1
0,110,21,1,5,12,1
0,80,21,1,1,13,1
0,110,21,1,1,5,1
0,100,21,1,5,4,1
0,100,21,1,1,16,1
0,100,21,1,1,16,1
0,80,21,1,5,3,1
0,100,21,1,5,5,1
0,100,21,1,1,5,1
0,100,21,1,1,9,1
0,80,21,1,1,7,1
0,80,21,1,1,4,1
0,100,21,1,1,4,1
0,80,21,1,1,3,1
0,100,21,0,3,5,1
0,100,21,0,5,9,1
0,80,21,1,1,6,1
0,80,21,0,3,9,1
0,100,21,1,1,3,1
0,80,21,0,1,13,1
0,80,21,0,1,3,1
0,80,21,0,5,3,1
0,100,21,0,1,8,1
0,100,21,0,1,6,1
0,100,21,1,1,9,1
0,100,21,0,1,6,1
0,100,21,0,1,9,1
0,100,21,1,5,5,1
0,100,21,1,2,5,1
0,100,21,1,1,5,1
0,100,21,0,1,6,1
0,80,21,0,2,8,1
0,100,21,0,1,6,1
0,80,21,0,1,7,1
0,100,21,1,5,54,1
0,100,25,0,1,7,1
0,80,25,1,3,3,1
0,100,25,1,1,3,1
0,100,25,1,1,5,1
0,100,25,1,2,4,1
0,80,25,0,1,5,1
0,100,25,1,2,4,1
0,100,25,0,2,10,1
0,80,25,1,1,10,1
0,90,25,0,1,5,1
0,100,25,1,1,5,1
0,100,25,1,1,3,1
0,100,25,0,1,9,1
0,100,25,1,5,5,1
0,90,25,0,1,4,1
0,100,25,1,1,5,1
0,80,25,1,1,5,1
0,100,25,1,5,5,1
0,100,25,1,1,5,1
0,110,25,1,1,14,1
0,100,25,1,1,3,1
0,100,25,0,1,3,1
0,100,25,1,5,4,1
0,100,25,1,2,4,1
0,100,25,1,5,7,1
0,100,25,0,1,4,1
0,100,25,1,5,3,1
0,80,25,1,1,4,1
0,100,25,0,2,5,1
0,80,25,1,3,3,1
0,100,25,0,2,3,1
0,80,25,1,1,8,1
0,100,25,1,1,5,1
0,100,25,1,5,5,1
0,80,25,1,1,4,1
0,80,25,1,5,3,1
0,100,25,1,1,3,1
0,100,25,1,5,4,1
0,80,25,1,1,3,1
0,100,25,1,2,11,1
0,80,25,1,1,7,1
0,80,25,1,1,9,1
0,100,25,1,5,3,1
0,100,25,1,1,3,1
0,80,25,0,4,4,1
0,100,25,1,3,7,1
0,80,25,1,1,5,1
0,80,25,1,1,3,1
0,100,25,1,1,5,1
0,100,25,0,5,5,1
0,100,25,0,1,11,1
0,100,25,0,1,10,1
0,100,25,1,1,5,1
0,80,25,0,1,4,1
0,110,25,1,1,3,1
0,100,25,1,1,9,1
0,100,25,1,1,3,1
0,100,25,1,5,3,1
0,100,25,0,1,3,1
0,80,25,0,5,3,1
0,100,25,1,1,3,1
0,80,25,1,5,3,1
0,100,25,1,5,5,1
0,100,25,1,5,3,1
0,100,25,0,5,5,1
0,100,25,1,2,4,1
