hour,DAY_OF_WEEK,weighted_ppl_killed
7.0,6.0,8.71
6.0,6.0,16.0
5.0,6.0,17.2
4.0,6.0,15.38
3.0,6.0,27.84
2.0,6.0,18.69
1.0,6.0,22.19
8.0,5.0,11.79
7.0,5.0,10.06
6.0,5.0,15.38
5.0,5.0,22.46
4.0,5.0,10.71
3.0,5.0,18.5
2.0,5.0,24.4
1.0,5.0,9.66
0.0,5.0,22.54
