hour,DAY_OF_WEEK,weighted_ppl_killed
6.0,4.0,17.57
5.0,4.0,10.59
4.0,4.0,10.83
3.0,4.0,18.7
2.0,4.0,14.8
1.0,4.0,25.38
0.0,4.0,13.02
23.0,3.0,12.89
7.0,3.0,12.07
6.0,3.0,11.94
5.0,3.0,20.44
4.0,3.0,22.5
3.0,3.0,13.88
2.0,3.0,12.82
1.0,3.0,16.23
0.0,3.0,15.22
5.0,2.0,31.63
4.0,2.0,11.91
3.0,2.0,20.57
2.0,2.0,13.57
1.0,2.0,8.59
