hour,DAY_OF_WEEK,weighted_ppl_killed
15.0,5.0,9.59
14.0,5.0,12.05
13.0,5.0,9.38
12.0,5.0,5.71
11.0,5.0,10.49
10.0,5.0,10.38
9.0,5.0,7.95
15.0,4.0,7.91
14.0,4.0,8.23
13.0,4.0,7.38
12.0,4.0,6.8
11.0,4.0,9.15
10.0,4.0,4.84
9.0,4.0,8.03
8.0,4.0,5.63
7.0,4.0,9.2
15.0,3.0,7.42
14.0,3.0,7.52
13.0,3.0,4.75
12.0,3.0,8.47
11.0,3.0,7.98
10.0,3.0,10.07
9.0,3.0,5.42
8.0,3.0,6.54
