hour,DAY_OF_WEEK,weighted_ppl_killed
15.0,7.0,8.24
14.0,7.0,9.93
13.0,7.0,10.22
12.0,7.0,11.71
11.0,7.0,8.28
10.0,7.0,6.96
9.0,7.0,8.22
8.0,7.0,6.06
7.0,7.0,5.21
6.0,7.0,9.46
15.0,6.0,10.39
14.0,6.0,10.29
13.0,6.0,10.65
12.0,6.0,7.4
11.0,6.0,7.62
10.0,6.0,4.59
9.0,6.0,6.47
8.0,6.0,6.27
