hour,DAY_OF_WEEK,weighted_ppl_killed
15.0,2.0,9.26
14.0,2.0,10.14
13.0,2.0,8.5
12.0,2.0,10.46
11.0,2.0,8.45
10.0,2.0,10.21
9.0,2.0,8.39
8.0,2.0,6.19
7.0,2.0,5.86
6.0,2.0,14.12
15.0,1.0,7.58
14.0,1.0,12.63
13.0,1.0,16.96
12.0,1.0,10.52
11.0,1.0,10.87
10.0,1.0,8.5
9.0,1.0,10.44
8.0,1.0,2.46
7.0,1.0,7.79
6.0,1.0,14.22
