hour,DAY_OF_WEEK,weighted_ppl_killed
20.0,5.0,9.42
19.0,5.0,7.78
18.0,5.0,6.8
17.0,5.0,5.07
16.0,5.0,6.87
23.0,4.0,12.4
22.0,4.0,11.48
21.0,4.0,13.09
20.0,4.0,8.16
19.0,4.0,7.37
18.0,4.0,7.18
17.0,4.0,7.18
16.0,4.0,10.03
22.0,3.0,11.01
21.0,3.0,6.8
20.0,3.0,8.48
19.0,3.0,7.15
18.0,3.0,7.79
17.0,3.0,6.93
16.0,3.0,5.61
