hour,DAY_OF_WEEK,weighted_ppl_killed
23.0,2.0,13.64
22.0,2.0,15.54
21.0,2.0,5.6
20.0,2.0,14.21
19.0,2.0,10.27
18.0,2.0,7.56
17.0,2.0,6.2
16.0,2.0,8.2
0.0,2.0,12.53
23.0,1.0,19.54
22.0,1.0,14.22
21.0,1.0,8.1
20.0,1.0,17.68
19.0,1.0,12.77
18.0,1.0,10.05
17.0,1.0,6.35
16.0,1.0,15.29
