hour,DAY_OF_WEEK,weighted_ppl_killed
22.0,7.0,20.93
21.0,7.0,21.15
20.0,7.0,15.38
19.0,7.0,12.7
18.0,7.0,5.05
17.0,7.0,6.35
16.0,7.0,8.87
23.0,6.0,22.42
22.0,6.0,15.06
21.0,6.0,19.29
20.0,6.0,16.1
19.0,6.0,10.24
18.0,6.0,5.62
17.0,6.0,8.5
16.0,6.0,7.8
0.0,6.0,15.41
23.0,5.0,8.92
22.0,5.0,8.74
21.0,5.0,12.95
