ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120000065,A,,1,SW,1,Paved,V,CYCLE,DEMO,,,10,Motor Cycle,,,Z,,,,,1,,,SW,19,19,H,BLU,ZZ,2,F,2,5,2,0,No control
T20120000065,B,2002,2,NE,1,Paved,V,SEDAN,HOLDEN,C/DORE,,1,Car,,R,M,4,6,5,1600,2,,,NE,1,1,H,WHI,ZZ,2,F,2,2,2,0,No control
T20120000066,A,1997,1,SE,1,Paved,V,SEDAN,HOLDEN,8VK19,,1,Car,,R,P,4,6,5,1300,4,,,S,2,2,H,GRN,ZZ,2,2,2,3,1,0,No control
T20120000066,B,2011,2,SE,1,Paved,V,WAGON,FORD,TERRIT,,2,Station Wagon,,R,D,4,6,7,2167,6,,,SE,1,7,H,BRN,ZZ,2,5,2,3,1,0,No control
T20120000079,A,1994,1,SE,1,Paved,V,SOLO,HONDA,CBR900,,10,Motor Cycle,,,P,2,4,,,1,,900,NE,3,3,H,WHI,ZZ,2,5,2,1,2,11,Giveway sign
T20120000082,A,2010,2,S,1,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4,8,5,1805,1,,,S,1,1,H,RED,ZZ,2,F,2,3,1,99,Unknown
T20120000082,B,1997,1,E,1,Paved,V,SEDAN,FORD,FUTURA,,1,Car,,R,M,4,6,5,1500,1,,,E,99,1,H,GRN,ZZ,2,8,2,2,2,99,Unknown
T20120000083,A,2000,1,N,1,Paved,V,TRAY,TOYOTA,HILU00,,4,Utility,,R,D,4,4,2,1000,3,,3000,N,1,18,H,WHI,ZZ,2,F,1,3,1,0,No control
T20120000084,A,,1,NW,1,Paved,,SEDAN,HOLDEN,,,1,Car,,,Z,,,,,1,,,NW,1,1,H,MRN,ZZ,2,5,2,9,2,0,No control
T20120000086,A,1997,1,SE,1,Paved,V,SEDAN,NISSAN,PULSAR,,1,Car,,R,P,4,4,5,1050,1,,,NW,5,5,H,GRN,ZZ,2,2,2,5,1,0,No control
T20120000086,B,2006,2,SE,1,Paved,V,SED,FORD,FALCON,,3,Taxi,,R,M,4,6,5,1694,1,,,SE,1,1,H,YLW,ZZ,2,F,1,4,1,0,No control
T20120000087,A,2006,1,SE,1,Paved,V,SOLO,B VELL,TNT,,10,Motor Cycle,,,P,2,3,,,1,,1130,SE,1,1,H,GLD,ZZ,2,1,2,1,2,0,No control
T20120000090,A,1994,1,E,1,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,P,4,6,5,1400,1,,,E,1,1,H,GRN,ZZ,2,F,2,4,1,0,No control
T20120000091,A,1993,1,SW,1,Paved,V,SEDAN,MITSUB,LANCER,,1,Car,,R,P,4,4,5,1000,1,,,SW,1,18,H,SIL,ZZ,2,1,2,5,1,0,No control
T20120000093,A,2010,1,NW,1,Paved,V,SEDAN,SUBARU,IMPREZ,,1,Car,,R,P,4,4,5,1465,1,,,NW,1,1,H,BLU,ZZ,2,2,2,4,1,10,Stop sign
T20120000093,B,2011,2,SW,1,Paved,S,SED,AUDI,A3,,1,Car,,,Z,,4,5,,2,,,SW,1,1,H,SIL,ZZ,2,F,2,4,1,10,Stop sign
T20120000096,A,2010,1,N,1,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4,6,5,1622,1,,,NK,4,17,H,WHI,ZZ,2,5,2,6,2,15,Other
T20120000096,B,,2,E,1,Paved,,,,,,13,Bicycle,,,,,,,,1,,,E,1,1,H,ZZ,ZZ,0,F,2,1,2,15,Other
T20120000097,A,2003,1,E,1,Paved,V,SEDAN,FORD,FAIRMO,,1,Car,,R,P,4,6,5,1640,1,,,S,2,2,H,BLU,ZZ,2,2,2,4,9,1,Stop-go lights
T20120000097,B,1996,2,N,1,Paved,V,SEDAN,FORD,FALCON,,1,Car,,R,M,4,6,5,1500,3,,,N,1,1,H,GRN,ZZ,2,F,2,4,2,1,Stop-go lights
T20120000098,A,2000,1,SE,1,Paved,V,S WAG,SUBARU,OUTBCK,,2,Station Wagon,,R,P,4,4,5,1420,1,,,SE,1,1,H,GRN,ZZ,2,9,2,4,1,0,No control
T20120000099,A,2006,1,N,1,Paved,V,S WAG,HOLDEN,COMMOD,,2,Station Wagon,,R,P,4,6,5,1590,1,,3600,E,2,99,H,BLU,ZZ,2,1,2,3,1,10,Stop sign
T20120000099,B,2004,2,W,1,Paved,V,SEDAN,FORD,FOCUS,,1,Car,,R,P,4,4,5,1200,1,,,W,1,1,H,RED,ZZ,2,F,2,5,1,10,Stop sign
T20120000100,A,2003,1,NW,1,Paved,V,SED,HOLDEN,COMDOR,,1,Car,,R,P,4,6,5,1497,1,,,NW,1,1,H,WHI,ZZ,2,1,2,4,1,0,No control
T20120000100,B,2002,2,SE,1,Paved,V,WAGON,MITSUB,PAJERO,,2,Station Wagon,,R,D,4,4,7,2130,1,,,SE,1,1,H,WHI,ZZ,2,9,2,4,1,0,No control
T20120000104,A,2003,1,W,3,Gravel,V,DC UTE,HOLDEN,RODEO,,4,Utility,2800,R,M,4,6,5,1665,1,1135,,W,1,18,H,GRY,ZZ,2,U,2,2,2,0,No control
T20120000109,A,2001,1,W,1,Paved,A,P VAN,MERC B,MB100,,5,Panel Van,,,Z,,5,5,1775,2,,,W,1,18,H,WHI,ZZ,2,T,2,3,1,0,No control
T20120000116,A,1998,1,SW,1,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4,6,5,1450,1,,,SW,99,99,H,RED,ZZ,2,F,2,5,1,99,Unknown
T20120000124,A,,1,NW,1,Paved,,,,,,13,Bicycle,,,,,,,,1,,,NW,1,1,H,ZZ,ZZ,0,F,2,6,2,0,No control
