hour,DAY_OF_WEEK,weighted_ppl_killed
15.0,3.0,7.78
14.0,3.0,8.02
13.0,3.0,4.86
12.0,3.0,8.67
11.0,3.0,8.19
16.0,2.0,8.24
15.0,2.0,9.32
14.0,2.0,9.91
13.0,2.0,8.65
12.0,2.0,10.64
11.0,2.0,8.21
10.0,2.0,9.86
9.0,2.0,8.41
8.0,2.0,6.15
7.0,2.0,5.82
17.0,1.0,6.21
16.0,1.0,14.68
15.0,1.0,7.14
14.0,1.0,12.9
13.0,1.0,16.85
12.0,1.0,10.44
11.0,1.0,11.27
10.0,1.0,8.87
