hour,DAY_OF_WEEK,weighted_ppl_killed
12.0,5.0,5.82
11.0,5.0,10.72
10.0,5.0,10.1
9.0,5.0,8.37
8.0,5.0,12.05
7.0,5.0,10.49
6.0,5.0,16.01
5.0,5.0,24.05
4.0,5.0,10.86
15.0,4.0,7.87
14.0,4.0,8.18
13.0,4.0,8.03
12.0,4.0,7.41
11.0,4.0,9.91
10.0,4.0,5.41
9.0,4.0,8.22
8.0,4.0,5.37
7.0,4.0,8.85
6.0,4.0,17.88
5.0,4.0,10.85
10.0,3.0,10.23
9.0,3.0,5.47
8.0,3.0,6.88
