hour,DAY_OF_WEEK,weighted_ppl_killed
12.0,7.0,15.17
11.0,7.0,10.75
10.0,7.0,8.95
9.0,7.0,10.49
8.0,7.0,7.67
7.0,7.0,6.6
6.0,7.0,12.01
5.0,7.0,24.98
11.0,6.0,7.87
10.0,6.0,4.91
9.0,6.0,6.47
8.0,6.0,6.28
7.0,6.0,8.7
6.0,6.0,16.23
5.0,6.0,18.29
9.0,1.0,9.73
8.0,1.0,2.39
7.0,1.0,6.98
6.0,1.0,13.84
5.0,1.0,18.34
4.0,1.0,26.51
